"Month","Wind (%)","Solar (%)"
"Jan, 2019",0,0
"Feb, 2019",0,0
"Mar, 2019",0,0
"Apr, 2019",0,0
"May, 2019",0,0
"Jun, 2019",0,0
"Jul, 2019",0,0
"Aug, 2019",45.964366134524504,7.605797226786589
"Sep, 2019",25.061220021296617,8.995754173862982
"Oct, 2019",15.048676001368511,8.923062277209919
"Nov, 2019",27.032602824331846,10.091896849754823
"Dec, 2019",41.07182854869144,10.515726981800732
"Jan, 2020",32.15525190822428,10.874253757050555
"Feb, 2020",26.944349251875245,13.289314429937205
"Mar, 2020",18.05448647038458,12.943771815286775
"Apr, 2020",18.71087450881283,13.539894125782148
"May, 2020",30.534816483695714,14.585739795989994
"Jun, 2020",29.698660441680886,12.776472181120107
"Jul, 2020",25.793700650341606,12.25448300000814
"Aug, 2020",32.523372973563156,11.154738228252917
"Sep, 2020",23.52864032434299,11.501761665778824
"Oct, 2020",19.696150174450942,21.739632235324954
"Nov, 2020",18.32952639790098,20.398784988132025
"Dec, 2020",21.762505520350455,21.291899572142164
"Jan, 2021",24.499046398920264,22.606247057696233
"Feb, 2021",17.942627088597252,27.048305612442576
"Mar, 2021",21.141268122555328,28.592968050226425
"Apr, 2021",22.37914572632506,28.890826122519265
"May, 2021",41.58532520927071,28.167946650913013
"Jun, 2021",0,0
