Date,Solar (MU),Wind (MU),Other RE (MU)
01-04-2018,5769.37,3473.58,1400.81
01-04-2019,140.57,91.89,41.94
02-04-2019,132.86,75.21,41.74
03-04-2019,133.51,79.91,42.81
04-04-2019,133.06,92.41,42.94
05-04-2019,131.8,124.5,43.14
06-04-2019,136.73,112.65,46.67
07-04-2019,128.49,123.91,43.98
08-04-2019,132.22,118.09,43.55
09-04-2019,131.74,143.45,42.81
10-04-2019,137.13,129.5,44.03
11-04-2019,146.98,101.29,54.33
12-04-2019,136.04,96.73,44.23
13-04-2019,135.86,112.91,44.42
14-04-2019,133.43,91.89,45
15-04-2019,128.82,148.62,42.17
16-04-2019,121.76,122.09,44.75
17-04-2019,115.01,106.38,38.84
18-04-2019,139.98,87.93,38.6
19-04-2019,138.72,95.4,36.82
20-04-2019,140.99,92.87,38.05
21-04-2019,139.55,100.2,39.26
22-04-2019,137.91,110.99,38.28
23-04-2019,138.56,119,37.07
24-04-2019,138.73,120.5,26.03
25-04-2019,142.1,104.42,31.8
26-04-2019,137.64,103.03,34.54
27-04-2019,131.82,107.9,34.44
28-04-2019,127.42,105.8,33.63
29-04-2019,127.37,167.2,34.37
30-04-2019,127.97,263.33,33.65
01-05-2019,117.58,246.92,85.85
02-05-2019,132.26,264.48,35.67
03-05-2019,145.55,272.73,28.15
04-05-2019,137.88,220.61,29.69
05-05-2019,137.03,146.79,27.41
06-05-2019,138.23,129.51,27.71
07-05-2019,138.23,272.4,28.9
08-05-2019,138.2,312.16,29.29
09-05-2019,143.88,265.45,29.94
10-05-2019,171.46,189.39,31.08
11-05-2019,104.88,106.45,28.52
12-05-2019,101.75,78.86,28.16
13-05-2019,131.61,201.83,26.73
14-05-2019,131.78,242.32,17.63
15-05-2019,130.96,197.88,27.97
16-05-2019,136.96,152.71,25.95
17-05-2019,132.02,169.46,26.6
18-05-2019,137.18,142.05,24.26
19-05-2019,132.45,135.68,27.27
20-05-2019,137.65,117.86,15.69
21-05-2019,125.34,148.04,16.33
22-05-2019,136.32,144.21,16.15
23-05-2019,129.98,169.55,23.06
24-05-2019,137.23,169.71,22.75
25-05-2019,138.95,167.86,27.48
26-05-2019,139.99,210.21,27.85
27-05-2019,141.26,169.5,27.58
28-05-2019,143,191.3,28.22
29-05-2019,135.79,183.49,24.37
30-05-2019,124.36,192.04,23.62
31-05-2019,132.37,196.66,25.49
01-06-2019,134.08,275.08,20.1
02-06-2019,141.22,242.2,23.51
03-06-2019,129.79,318.76,24.23
04-06-2019,138.78,286.5,23.97
05-06-2019,143.21,195.71,24.84
06-06-2019,137.04,186.87,24.38
07-06-2019,139.04,189.35,24.47
08-06-2019,121.15,162.32,24.36
09-06-2019,138.78,175.48,52.3
10-06-2019,137.07,184.62,25.42
11-06-2019,0,0,0
12-06-2019,0,0,0
13-06-2019,0,0,0
14-06-2019,0,0,0
15-06-2019,0,0,0
16-06-2019,0,0,0
17-06-2019,0,0,0
18-06-2019,0,0,0
19-06-2019,0,0,0
20-06-2019,0,0,0
21-06-2019,0,0,0
22-06-2019,0,0,0
23-06-2019,0,0,0
24-06-2019,0,0,0
25-06-2019,0,0,0
26-06-2019,0,0,0
27-06-2019,0,0,0
28-06-2019,0,0,0
29-06-2019,0,0,0
30-06-2019,0,0,0
01-07-2019,105.17,314.49,47.8
02-07-2019,108.03,295,48.5
03-07-2019,108.22,324.42,48.84
04-07-2019,111.31,362.67,45.77
05-07-2019,96.02,395.86,46.31
06-07-2019,95.05,393.74,46.45
07-07-2019,105.44,378.8,48.58
08-07-2019,115.61,400.93,51.61
09-07-2019,106.89,422.39,51.96
10-07-2019,114.91,413.77,50.29
11-07-2019,108.67,425.84,51.64
12-07-2019,114.14,338.08,51.79
13-07-2019,119.71,351.94,51.28
14-07-2019,114.43,390.48,51.07
15-07-2019,114.59,422.46,49.12
16-07-2019,117.42,369.08,46.6
17-07-2019,113.36,280.75,47.88
18-07-2019,112.41,242.17,47.92
19-07-2019,102.95,197.06,47.88
20-07-2019,99.94,177.1,49.8
21-07-2019,107.05,181.43,45.53
22-07-2019,111.53,187.93,45.32
23-07-2019,108.72,197.07,49.13
24-07-2019,104.63,305.97,48.32
25-07-2019,93.21,365.17,44.42
26-07-2019,73.64,370.22,52.85
27-07-2019,78.97,379.97,75.53
28-07-2019,63.5,358.03,73.73
29-07-2019,77.05,352.48,73.46
30-07-2019,80.32,332.55,52.06
31-07-2019,105.8,355.01,51.23
01-08-2019,91.49,382.11,54.88
02-08-2019,70.74,373,52.76
03-08-2019,81.23,338.75,53.67
04-08-2019,85.82,338.14,53.8
05-08-2019,92.32,381.42,56.68
06-08-2019,84.28,379.3,56.46
07-08-2019,74.27,376.65,51.99
08-08-2019,71.43,331.25,50.66
09-08-2019,80.03,374.12,55.34
10-08-2019,91.45,412.25,49.85
11-08-2019,102.42,332.78,51.62
12-08-2019,107.1,270.24,50.59
13-08-2019,100.65,262.41,50.75
14-08-2019,98.91,271.52,50
15-08-2019,91.64,256.92,45.4
16-08-2019,103.88,282.62,48.06
17-08-2019,100.91,195.24,45.43
18-08-2019,85.54,164.2,49.97
19-08-2019,122.44,128.75,49.15
20-08-2019,106.48,166.02,49.73
21-08-2019,110.38,269.24,52.6
22-08-2019,116.25,239.58,53.31
23-08-2019,113.93,255.86,52.5
24-08-2019,120.36,269.84,54.94
25-08-2019,118.06,241.91,55.79
26-08-2019,113.3,238.49,53.72
27-08-2019,121.26,230.05,24.04
28-08-2019,109.43,189.02,23.04
29-08-2019,114.85,184.05,23.95
30-08-2019,114.6,225.23,24.64
31-08-2019,114.6,225.23,24.64
01-09-2019,86.21,191.31,32.16
02-09-2019,95.43,186.6,31.05
03-09-2019,88.41,219.45,31.97
04-09-2019,90.2,232.73,31.59
05-09-2019,100.59,258.42,30.57
06-09-2019,97.8,276.18,31.4
07-09-2019,98.32,264.96,32.91
08-09-2019,98.83,245.75,32.96
09-09-2019,114.11,259.12,32.42
10-09-2019,112.1,234.17,32.66
11-09-2019,112.58,220.34,31.16
12-09-2019,97.38,259.86,34.55
13-09-2019,104.66,238.27,32.24
14-09-2019,104,213.72,32.31
15-09-2019,102.01,201.54,32.15
16-09-2019,113.63,227.97,31.56
17-09-2019,99.84,176.42,30.42
18-09-2019,96.15,130.83,30.64
19-09-2019,100.48,122.37,30.48
20-09-2019,112.25,123.7,29.88
21-09-2019,129.55,86.48,28.54
22-09-2019,111.25,78.36,28.4
23-09-2019,118.37,58.04,28.14
24-09-2019,107.47,42.03,26.48
25-09-2019,112.61,66.12,27.71
26-09-2019,105.23,76.17,27.56
27-09-2019,120.97,65.25,26.52
28-09-2019,122.03,91.03,26.79
29-09-2019,109.42,57.02,27.94
30-09-2019,125.89,80.96,28.48
01-10-2019,127.46,104.25,29.32
02-10-2019,125.66,67.79,28.73
03-10-2019,124.21,62.66,28.23
04-10-2019,132.41,46.37,27.37
05-10-2019,134.16,25.57,26.25
06-10-2019,117.69,34.93,33.14
07-10-2019,117.31,39.98,24.95
08-10-2019,133.64,30.1,25.32
09-10-2019,130.04,27.74,26.3
10-10-2019,126.56,23.28,24.09
11-10-2019,122.51,18.19,24.29
12-10-2019,124.19,21.87,26.04
13-10-2019,125.38,33.3,25.4
14-10-2019,132.44,42.36,25.15
15-10-2019,119.03,56.23,22.77
16-10-2019,107.38,62.59,25.1
17-10-2019,110.49,50.82,24.3
18-10-2019,114.26,58.86,23.63
19-10-2019,110.57,89.04,24.51
20-10-2019,105.04,67.69,24.21
21-10-2019,97.09,69.05,23.38
22-10-2019,106.05,54.04,24.18
23-10-2019,111.4,92.09,22.95
24-10-2019,108.03,116.63,25.47
25-10-2019,102.96,146.61,23.54
26-10-2019,99.54,167.14,23.61
27-10-2019,100.65,85.18,22.54
28-10-2019,97.44,65.13,24.28
29-10-2019,95.87,79.56,19.55
30-10-2019,83.09,105.3,19.27
31-10-2019,101.19,97.56,16.62
01-11-2019,105.02,79.35,22.41
02-11-2019,102.92,48.78,21.39
